LOGIN;PASSWD;INICIO;FIN;INTENTOS
grupo01;grupo01;6:00:00;6:30:00;2
grupo02;grupo02;6:30:00;7:00:00;2
grupo03;grupo03;7:00:00;7:30:00;2
grupo04;grupo04;7:30:00;8:00:00;2
grupo05;grupo05;8:00:00;8:30:00;2
grupo01;grupo01;8:30:00;9:00:00;2
grupo02;grupo02;9:00:00;9:30:00;2
grupo03;grupo03;9:30:00;10:00:00;2
grupo04;grupo04;10:00:00;10:30:00;2
grupo05;grupo05;10:30:00;11:00:00;2
grupo01;grupo01;11:00:00;11:30:00;2
grupo02;grupo02;11:30:00;12:00:00;2
grupo03;grupo03;12:00:00;12:30:00;2
grupo04;grupo04;12:30:00;13:00:00;2
grupo05;grupo05;13:00:00;13:30:00;2
grupo01;grupo01;13:30:00;14:00:00;2
grupo02;grupo02;14:00:00;14:30:00;2
grupo03;grupo03;14:30:00;15:00:00;2
grupo04;grupo04;15:00:00;15:30:00;2
grupo05;grupo05;15:30:00;16:00:00;2
grupo01;grupo01;16:00:00;16:30:00;2
grupo02;grupo02;16:30:00;17:00:00;2
grupo03;grupo03;17:00:00;17:30:00;2
grupo04;grupo04;17:30:00;18:00:00;2
grupo05;grupo05;18:00:00;18:30:00;2
grupo01;grupo01;18:30:00;19:00:00;2
grupo02;grupo02;19:00:00;19:30:00;2
grupo03;grupo03;19:30:00;20:00:00;2
grupo04;grupo04;20:00:00;20:30:00;2
grupo05;grupo05;20:30:00;21:00:00;2
grupo01;grupo01;21:00:00;21:30:00;2
grupo02;grupo02;21:30:00;22:00:00;2
grupo03;grupo03;22:00:00;22:30:00;2
grupo04;grupo04;22:30:00;23:00:00;2
grupo05;grupo05;23:00:00;23:30:00;2
